brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Kinder,80052760,e,"Chocolat au LAIT_31,5%, sucre, huile de palme, farine de blé, noisettes 10,8%, lait écrémé en poudre 8,5%, lait en poudre 5,5%, chocolat noir 1,5%, cacao maigre, lécithines, carbonate acide de sodium, sel, vanilline.","['en:plastic', 'en:pp-5-polypropylene', 'en:plastico']",,Kinder Bueno
Coca-Cola,42105220,not-applicable,"water, sugar, carbonic acid, e150d, e338, natural flavors including caffeine","['en:plastic', 'en:pet-polyethylene-terephthalate', 'de:flasche-n', 'it:bottiglia-pet']",,Coca Cola
"Caprice Des Dieux, Savencia",3161711000622,c,"Lait de vache , crème , sel, ferments lactiques (lait).","['en:plastic', 'en:fresh', 'en:container']",,Caprice des Dieux
Fin Carré,20005832,d,"sugar, cocoa mass, cocoa butter, emulsifier (sunflower lecithins), vanilla extract","['en:plastic', 'en:pp-5-polypropylene', 'en:hdpe-packet', 'en:mixed-plastic-packet']",Don't Recycle,Dark Chocolate
Harrys,3228850006035,a,"Farine de blé 66,5%, eau, huile de colza, sucre, gluten de blé, levure, arôme (contient alcool), sel, vinaigre, conservateur : propionate de calcium, farine de fèves, extrait d'acérola. peut contenir des traces d'oeufs, soja, lait, fruits à coque, moutarde, graines de sésame.","['en:plastic', 'en:bag', 'en:envelope', 'fr:sachet-en-plastique']",,Pain de mie longue conservation
Gerblé,3175681072916,c,"Farine de blé 60,3%, huile de colza, miel toutes fleurs 9,8%, sucre de canne roux, graines de lin brun 5,6%, farine de châtaigne 5,5%, farine de riz, arômes naturels, farine d'avoine, farine de seigle, farine de maïs, jus concentré de citron, fibres d'avoine, sel de mer, émulsifiant : lécithines de colza, poudres à lever (carbonates de potassium, carbonates de sodium), lactosérum en poudre, extrait de malt d'orge, cannelle, sel.","['en:plastic', 'en:cardboard', 'en:pack', 'fr:etui-en-carton', 'fr:film-en-plastique']",,Gerble - Miel Châtaigne graines de lin
"Gruma,Mission Wrap",8710637105390,a,"farine de FROMENT 55%, graines de lin brunes et jaunes [0,9%], graines de mil [0,3%], flocons d'AVOINE 0,3%], flocons de BLÉ [0,3%]), eau, stabilisant (glycérine), huile végétale (huile de tournesol) (7%), correcteur d'acidité (acide malique), émulsifiant (mono - et diglycérides d'acides gras), farine de FROMENT fermentée, sel, poudre à lever (bicarbonate de sodium), fibres végétales, arôme naturel.",['en:plastic'],,Wraps Multigrains
fairlife,0811620022118,d,"Filtered lowfat grade A milk, alkalized cocoa, natural flavors, cellulose gel, cellulose gum, salt, carrageenan, lactase enzyme, monk fruit juice concentrate, acesulfame potassium, sucralose, stevia leaf extract, lactase enzyme, vitamin A palmitate, vitamin D3","['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle']",PETE,Chocolate Nutrition Shake
Ovive,3392780007001,e,"_Truite_ Arc-En-Ciel (Oncorhynchus mykiss) 97%, sel 3%","['en:plastic', 'en:paper-or-cardboard', 'en:cardboard', 'en:blister', 'en:fresh', 'en:vacuum-packed', 'fr:etui-en-carton', 'fr:film-en-plastique']","1 étui carton à trier
1 film plastique à trier
1 plateau carton à trier",Truite Fumée des Pyrénées
"Crownfield,Lidl",20621483,e,"80% Shredded Wholegrain Wheat, 16% Wheat Bran, Sugar, Barley Malt Extract, Salt, Honey.","['en:plastic', 'en:bag', 'en:cardboard', 'en:non-corrugated-cardboard', 'en:card-box']",,Bran Flakes
"Ferrero Rocher,Ferrero",8000500003787,unknown,شوكولاتة الحليب (سكر، زبدة الكاكاو، كتلة الكاكاو، مسحوق الحليب منزوع الدسم، زيت الزبدة، ليسيثين الصويا، الفانيلين)، البندق، السكر، زيت النخيل، دقيق القمح، مصل اللبن، مسحوق الكاكاو قليل الدسم، ليسيثين الصويا، بيكربونات الصوديوم، الملح، الفانيلين,"['en:plastic', 'en:metal', 'en:paper', 'en:recyclable-metals', 'en:aluminium', 'en:box', 'en:paper-film', 'en:ps-box', 'en:ps-lid', 'en:stuck', 'en:paper-label', 'en:pp-film-film', 'en:pp-lid', 'en:pp-tub']",,
Cafés Méo,3261342002108,e,100% Café Arabica Issu De L'Agriculture Biologique,"['en:plastic', 'en:bag', 'fr:sachet-en-plastique']",Sachet bac de tri,Pur Arabica Moulu biologique
Kirkland Signature,0096619756803,not-applicable,"Purified Water, Potassium Bicarbonate, Sodium Bicarbonate, Calcium Citrate, Sodium Chloride, Magnesium Oxide","['en:plastic', 'en:bottle', 'en:pet-bottle']",,Purified Drinking Water
Kirkland Signature,0096619194261,c,"Whole grain rolled oats *, cane sugar *, soy oil *, khorasan wheat, rolled spelt *, almonds, inulin * rice starch *, rolled quinoa *, rolled amaranth *, sea salt, molasses *, cinnamon *, vanilla flavor *, Probiotics (Bacillus coagulans GBI-30 6086), tocopherols (vitamin E). * ORGANIC Contains soy, almonds and wheat Produced in a facility that uses peanuts and other tree nuts.",['en:plastic'],how2recycle.info PLASTIC POUCH C,Ancient Grains Probiotic Granola
Samyang,8801073110502,b,"Noodle [Wheat flour, Food Starch Modified, Palm Oil, 2% Wheat gluten, Salt, Glycerin, Soy Lecithin, Polyglycerol Esters of Fatty Acids, Potassium Carbonate, Sodium Carbonate, Sodium Phosphate Dibasic, Guar Gum, Tocopherols, Riboflavin (Color)], Sauce [Water, Artificial Chicken Flavor Powder (Artificial Flavor, Dextrin, Wheat Starch, Sugar, Salt, Yeast Extract, Natural Flavor, Disodium 5'-Ribonucleotide, Maltodextrin, Corn Starch), Soy Sauce Seasoning (Soybeans, Water, Salt, Wheat, Sodium Carbonate, High Fructose Corn Syrup, Disodium 5'-Ribonucleotide, Garlic, Steviol Glycoside, Maltodextrin, Sugar), Sugar, Hot Pepper Seasoning (Red Pepper, Dextrin, Salt, Sugar, Onion Powder, Artificial Flavor, Garlic Powder, Silicon Dioxide, Soy Sauce (Water, Soybeans, Wheat, Salt), Capsicum Oleoresin, Paprika Oleoresin, Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate), Soybean Oil, Onion, Red Pepper Seed Oil, 2% Garlic, Food Starch Modified, Capsicum Oleoresin, Paprika Oleoresin, Black Pepper Powder, Natural and Artificial Curry Flavor (Cumin, Salt, Maltodextrin, Artificial Flavor)], Flake [Sesame, Dried Seaweed].","['en:plastic', 'en:packet']",,Buldak HOT Chicken Flavor Ramen
Carrefour,3560070854998,d,Huile d'olive vierge extra,"['en:plastic', 'en:bottle']",,Huile d'olive
"Harrys, Harry’s",3228857001491,a,"Farine complète de BLÉ 44%, eau, farine de BLÉ 24%, huile de colza, levure, arôme (contient alcool), sel, vinaigre, gluten de BLÉ, extrait d'acérola. Peut contenir des traces d'OEUFS, SOJA, LAIT, FRUITS A COQUE, GRAINES DE SÉSAME.","['en:plastic', 'en:envelope', 'fr:sachet-en-plastique', 'fr:tranche']",sachet transparent coloré,Harrys pain de mie extra moelleux complet sans sucres ajoutés 500g
Bénénuts,3168930007340,d,"Cacahuètes, huile de tournesol, Sel","['en:plastic', 'en:bag', 'en:protective-gas', 'fr:pensez-au-tri', 'fr:point-vert', 'fr:sachet-plastique-a-jeter']",,Bénénuts cacahuètes grillées & salées
